"school_id","panel_year","school_city","school_state","school_district","nces_id","locale","self_reported_grades_pre_k","self_reported_grades_kindergarten","self_reported_grades_1st","self_reported_grades_2nd","self_reported_grades_3rd","self_reported_grades_4th","self_reported_grades_5th","self_reported_grades_6th","self_reported_grades_7th","self_reported_grades_8th","self_reported_grades_9th","self_reported_grades_10th","self_reported_grades_11th","self_reported_grades_12th","self_reported_race_aian","self_reported_race_asian","self_reported_race_hispanic","self_reported_race_black","self_reported_race_white","self_reported_race_multiple","self_reported_race_nhpi","self_reported_frpl","self_reported_total_enrollment","self_reported_swd","self_reported_ell","grades_elementary","grades_middle","grades_high","school_descriptor_sws","school_descriptor","school_descriptor_alt2019","title_i_schoolwide","term_2021","leader_tenure","leaps_high_expectations","leaps_whole_child","leaps_rigorous_learning","leaps_relevance","leaps_affirmation","leaps_social_consciousness","leaps_connection","leaps_customization","leaps_self_direction","leaps_anytime_anywhere","self_reported_ela","self_reported_math","leaps_rank_high_expectations","leaps_rank_whole_child","leaps_rank_rigorous_learning","leaps_rank_relevance","leaps_rank_affirmation","leaps_rank_social_consciousness","leaps_rank_connection","leaps_rank_customization","leaps_rank_self_direction","leaps_rank_anytime_anywhere","leadership_diversity","teaching_diversity","leader1_race","leader1_gender","leaps_interest"
36,2019,"Cisco","Texas","Cisco ISD","481407000888","Rural",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.00239234449760766,0.0119617224880383,0.15311004784689,0.0119617224880383,0.801435406698565,0.0191387559808612,0,0.588516746411483,438,10,1.6,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,2019,"Los Angeles","California","Citizens of the World","062271012708","Urban",0,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.175355450236967,0.272511848341232,0.0308056872037915,0.516587677725118,0.004739336492891,0,0.345971563981043,NA,NA,NA,1,1,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
38,2019,"St. Louis","Missouri","City Garden Montessori","290058503101","Urban",1,1,1,1,1,1,1,1,1,1,0,0,0,0,NA,0.00366300366300366,0.0402930402930403,0.428571428571429,0.498168498168498,0.0256410256410256,0.00366300366300366,0.399267399267399,281,11.4,0,1,1,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,2019,"Clarendon","Arkansas","Clarendon School District","050435000164","Rural",0,0,0,0,0,0,0,0,1,1,1,1,1,1,NA,NA,0.0981308411214953,0.523364485981308,0.336448598130841,0.0420560747663551,NA,0.598130841121495,234,15,5.6,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40,2019,"Clarksdale","Mississippi","none provided","280110000137","Rural",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0.0033112582781457,0.993377483443709,0.0033112582781457,0,0,1,246,4.5,0,0,0,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,2019,"Richmond","Virginia","CodeRVA Regional High School","510025603031","Urban",0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
42,2019,"Washington","District of Columbia","DCPS","110003000396","Urban",0,0,0,0,0,0,0,1,1,1,1,1,1,1,NA,0.0142215568862275,0.666916167664671,0.309131736526946,0.00449101796407186,0.00374251497005988,0.00149700598802395,0,1392,10.5,38.9,0,1,1,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
44,2019,"New Haven","Connecticut","New Haven Ecology Project","090001400807","Urban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,NA,0.02,0.295,0.395,0.255,0.035,NA,0.49,185,18.9,3.8,0,0,1,1,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
46,2019,"Denver","Colorado","School District NO. 1 In The County Of Denver","080336006645","Urban",0,0,0,0,0,0,0,1,1,1,0,0,0,0,0.00925925925925926,0.0324074074074074,0.884259259259259,0.0416666666666667,0.0231481481481481,0.00462962962962963,0.00462962962962963,0.958333333333333,125,8.8,65.6,0,1,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
47,2019,"New York","New York","New York City Geographic Region #7","360008406382","Urban",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.00571428571428571,0,0.654285714285714,0.314285714285714,0.02,0.00285714285714286,0.00285714285714286,0.954285714285714,NA,NA,NA,1,0,0,1,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
48,2019,"Dorchester","Massachusetts","none provided","250006001439","Urban",1,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0.0288888888888889,0.32,0.508888888888889,0.104444444444444,0.0377777777777778,0,0,437,0,20.8,1,1,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,2019,"Memphis","Tennessee","N/A","470014802548",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,3,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50,2019,"Dallas","Texas","Dallas Independent School District","481623001342","Urban",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.00583657587548638,0.0466926070038911,0.6284046692607,0.147859922178988,0.159533073929961,0.00972762645914397,0.00194552529182879,0.776264591439689,501,9.4,61.9,1,0,0,0,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
52,2019,"Kingsport","Tennessee","Kingsport City Schools","470219000706","Urban",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0.00268696820420958,0.019256605463502,0.0349305866547246,0.071204657411554,0.845499328257949,0.0264218540080609,NA,0,2130,16,0.3,0,0,1,1,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
53,2019,"Washington","District of Columbia","none provided","110004200273","Urban",1,1,1,1,1,1,1,0,0,0,0,0,0,0,0.00731707317073171,0.00731707317073171,0.709756097560976,0.180487804878049,0.0804878048780488,0.0121951219512195,0.0024390243902439,0,411,13.6,55,1,0,0,0,2,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
54,2019,"Denver","Colorado","Denver Public Schools","080336006640","Urban",0,0,0,0,0,0,0,0,0,0,1,1,1,0,0.00591715976331361,0.0650887573964497,0.284023668639053,0.118343195266272,0.455621301775148,0.0650887573964497,0.00591715976331361,0.461538461538462,100,11,16,0,0,0,0,1,1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
